"","Average M","M var","Min M","Max M"
"1",0.306512748603061,0.000266113954260541,0.257604517317455,0.367535112772861
"2",0.251933889152097,3.93974964598183e-05,0.251661768843849,0.264943820902441
"3",0.32566213251647,6.66273963067824e-05,0.324374713935114,0.343469656890304
"4",0.307382854812749,0.00013954508932573,0.278485460913812,0.345682710376642
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
