"","Average M","M var","Min M","Max M"
"1",0.305292611868825,0.000953345705976788,0.230115709132837,0.445406843214171
"2",0.259936655799445,6.72714623087102e-05,0.251706519787612,0.282177527484153
"3",0.33344406347634,8.5234716981961e-05,0.326953645917759,0.355333156331769
"4",0.311962353173802,0.00028517265791699,0.0447536712208611,0.4377742406634
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
