"","Average M","M var","Min M","Max M"
"1",0.320154694150355,0.000893082304471289,0.262010526521931,0.442375741622962
"2",0.255414987974875,5.27326755399681e-05,0.251614916858466,0.274132752878484
"3",0.328782202610223,8.01628295251851e-05,0.325571364245141,0.351288534960286
"4",0.30793057938816,0.000177546302037104,0.271387740473052,0.346558469473556
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
