"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","  143,606","  203,304","  111,395","  143,616","  143,620"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","  144,669","  202,642","  115,497","  144,711","  144,675"
"3",NA,NA,"HCR 2a (PFMC)","  122,770","  170,706","   98,074","  122,798","  122,801"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  122,840","  170,684","   98,826","  122,844","  122,862"
"5",NA,NA,"HCR 3a (SESSF)","  127,930","  178,716","   99,954","  127,902","  127,910"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","  128,295","  178,807","  102,944","  128,276","  128,290"
"7",NA,NA,"HCR 4 (NEFMC)","  117,988","  205,004","  117,949","  147,030","  147,033"
"8",NA,NA,"HCR 5 (Avg F)","  134,284","  234,524","  133,816","  108,921","  108,883"
"9",NA,"Est M","HCR 1a (NPFMC)","  146,838","  207,727","  114,060","  146,823","  146,905"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  147,969","  207,193","  118,118","  147,834","  148,047"
"11",NA,NA,"HCR 2a (PFMC)","  126,980","  176,511","  101,400","  127,030","  126,892"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","  126,982","  176,258","  102,259","  127,091","  127,055"
"13",NA,NA,"HCR 3a (SESSF)","  130,859","  182,835","  102,331","  130,809","  130,797"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","  131,477","  183,046","  105,588","  131,469","  131,432"
"15",NA,NA,"HCR 4 (NEFMC)","  113,357","  211,319","  121,553","  151,558","  151,612"
"16",NA,NA,"HCR 5 (Avg F)","  132,647","  129,674","   76,661","   94,340","   94,404"
"17","SS est M","Fix M","HCR 1a (NPFMC)","  144,236","  203,922","  112,010","  144,230","  144,217"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","  145,256","  203,270","  115,997","  145,259","  145,238"
"19",NA,NA,"HCR 2a (PFMC)","  123,293","  171,347","   98,556","  123,297","  123,322"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","  123,376","  171,259","   99,265","  123,330","  123,335"
"21",NA,NA,"HCR 3a (SESSF)","  128,605","  179,549","  100,628","  128,613","  128,610"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","  128,969","  179,582","  103,526","  128,968","  128,948"
"23",NA,NA,"HCR 4 (NEFMC)","  121,221","  205,552","  118,383","  147,505","  147,506"
"24",NA,NA,"HCR 5 (Avg F)","  135,296","  235,336","  134,396","  110,954","  110,982"
"25",NA,"Est M","HCR 1a (NPFMC)","  142,343","  201,413","  110,482","  142,393","  142,311"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","  143,380","  200,564","  114,416","  143,301","  143,355"
"27",NA,NA,"HCR 2a (PFMC)","  120,915","  167,876","   96,589","  120,729","  120,708"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","  120,903","  167,480","   97,232","  120,773","  120,739"
"29",NA,NA,"HCR 3a (SESSF)","  126,636","  176,856","   99,098","  126,714","  126,647"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","  126,962","  176,820","  101,902","  126,960","  126,941"
"31",NA,NA,"HCR 4 (NEFMC)","  110,581","  204,665","  117,845","  146,955","  146,914"
"32",NA,NA,"HCR 5 (Avg F)","  129,315","  128,483","   76,329","   93,744","   93,753"
"33","MS","Fix M","HCR 1a (NPFMC)","  153,126","  200,049","  122,738","  152,311","  153,527"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","  153,409","  198,388","  125,940","  152,677","  153,816"
"35",NA,NA,"HCR 2a (PFMC)","  125,550","  159,054","  103,961","  124,999","  125,865"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","  125,526","  158,953","  104,383","  125,145","  125,826"
"37",NA,NA,"HCR 3a (SESSF)","  131,439","  167,407","  107,113","  130,687","  131,855"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","  131,513","  167,102","  109,059","  130,795","  131,887"
"39",NA,NA,"HCR 4 (NEFMC)","  122,002","  202,002","  129,006","  155,830","  156,906"
"40",NA,NA,"HCR 5 (Avg F)","  139,290","  222,992","  145,307","  174,304","  175,934"
"41",NA,"Est M","HCR 1a (NPFMC)","  158,507","  210,079","  126,596","  157,708","  158,975"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","  158,681","  208,461","  129,520","  157,900","  158,944"
"43",NA,NA,"HCR 2a (PFMC)","  131,156","  169,281","  107,745","  130,446","  131,391"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","  131,167","  169,167","  108,315","  130,676","  131,398"
"45",NA,NA,"HCR 3a (SESSF)","  136,606","  176,933","  110,758","  135,833","  137,020"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","  136,780","  176,930","  112,603","  135,964","  137,029"
"47",NA,NA,"HCR 4 (NEFMC)","  109,684","  213,854","  133,616","  162,362","  163,392"
"48",NA,NA,"HCR 5 (Avg F)","  138,966","  222,583","  145,122","  173,983","  175,686"
