"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","   83,976","  153,375","   69,932","  139,278","  101,156","  172,472"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","   54,847","  116,544","   51,053","  109,167","   77,390","  131,632"
"3",NA,NA,"HCR 2a (PFMC)","   46,229","   92,336","   42,091","   88,731","   63,212","  107,571"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","   42,333","   89,450","   40,161","   87,872","   61,415","  104,647"
"5",NA,NA,"HCR 3a (SESSF)","   46,454","   91,849","   38,490","   81,339","   56,152","  113,741"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","   29,338","   73,424","   28,444","   70,085","   46,902","   92,502"
"7",NA,NA,"HCR 4 (NEFMC)","   21,132","   45,456","   21,253","   45,523","   33,523","   56,559"
"8",NA,NA,"HCR 5 (Avg F)","   10,503","   21,310","   11,051","   22,966","   17,371","   29,575"
"9",NA,"Est M","HCR 1a (NPFMC)","  161,379","  262,127","  284,331","  448,773","  462,662","1,522,709"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  107,385","  198,689","  200,105","  371,397","  338,570","1,160,201"
"11",NA,NA,"HCR 2a (PFMC)","   88,415","  157,078","  166,164","  284,605","  260,144","  902,058"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","   79,982","  150,003","  155,255","  280,409","  247,443","  868,182"
"13",NA,NA,"HCR 3a (SESSF)","   91,486","  169,840","  152,687","  278,694","  233,205","  948,478"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","   53,308","  130,951","  101,176","  239,849","  175,528","  733,875"
"15",NA,NA,"HCR 4 (NEFMC)","   37,638","   80,298","   75,676","  152,877","  119,395","  475,643"
"16",NA,NA,"HCR 5 (Avg F)","   10,112","   21,035","   11,075","   24,389","   16,881","   31,249"
"17","GOA","Fix M","HCR 1a (NPFMC)","   18,501","   46,593","   15,025","   34,317","   26,374","   72,161"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   18,738","   46,436","   15,334","   34,849","   26,871","   71,132"
"19",NA,NA,"HCR 2a (PFMC)","   14,520","   43,186","   12,173","   31,043","   20,632","   56,383"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   15,162","   42,411","   12,648","   30,722","   20,604","   56,682"
"21",NA,NA,"HCR 3a (SESSF)","   15,145","   41,942","   12,832","   29,158","   17,234","   46,211"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   13,570","   40,543","   11,692","   28,872","   16,659","   46,564"
"23",NA,NA,"HCR 4 (NEFMC)","    9,390","   31,250","    8,071","   21,828","   10,509","   29,308"
"24",NA,NA,"HCR 5 (Avg F)","   12,566","   39,128","   11,202","   27,953","   10,464","   30,630"
"25",NA,"Est M","HCR 1a (NPFMC)","   33,524","   49,164","   10,783","   27,817","   86,930","  212,179"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   28,005","   44,103","   10,066","   26,884","   84,584","  225,840"
"27",NA,NA,"HCR 2a (PFMC)","   24,198","   42,091","    8,443","   23,672","   78,216","  204,288"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   24,534","   43,951","    8,523","   23,570","   68,522","  214,465"
"29",NA,NA,"HCR 3a (SESSF)","   30,956","   47,434","    9,462","   22,237","   66,726","  156,685"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   24,450","   44,156","    8,044","   22,673","   61,458","  157,190"
"31",NA,NA,"HCR 4 (NEFMC)","   18,241","   42,888","    5,637","   16,050","   42,822","  109,409"
"32",NA,NA,"HCR 5 (Avg F)","   13,426","   39,922","   10,094","   25,855","   12,639","   30,858"
