"","Dir","File","Use","Ind"
"1","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_1.rds",TRUE,1
"2","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_2.rds",TRUE,2
"3","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_3.rds",TRUE,3
"4","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_4.rds",TRUE,4
"5","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_5.rds",TRUE,5
"6","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_6.rds",TRUE,6
"7","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_7.rds",TRUE,7
"8","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_8.rds",TRUE,8
"9","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_9.rds",TRUE,9
"10","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_10.rds",TRUE,10
"11","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_11.rds",TRUE,11
"12","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_12.rds",TRUE,12
"13","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_13.rds",TRUE,13
"14","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_14.rds",TRUE,14
"15","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_15.rds",TRUE,15
"16","Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_16.rds",TRUE,16
