"","Dir","File","Use","Ind"
"1","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_1.rds",TRUE,1
"2","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_2.rds",TRUE,2
"3","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_3.rds",TRUE,3
"4","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_4.rds",TRUE,4
"5","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_5.rds",TRUE,5
"6","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_6.rds",TRUE,6
"7","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_7.rds",TRUE,7
"8","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_8.rds",TRUE,8
"9","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_9.rds",TRUE,9
"10","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_10.rds",TRUE,10
"11","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_11.rds",TRUE,11
"12","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_12.rds",TRUE,12
"13","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_13.rds",TRUE,13
"14","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_14.rds",TRUE,14
"15","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_15.rds",TRUE,15
"16","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_16.rds",TRUE,16
"17","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_17.rds",TRUE,17
"18","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_18.rds",TRUE,18
"19","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_19.rds",TRUE,19
"20","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_20.rds",TRUE,20
"21","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_21.rds",TRUE,21
"22","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_22.rds",TRUE,22
"23","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_23.rds",TRUE,23
"24","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_24.rds",TRUE,24
"25","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_25.rds",TRUE,25
"26","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_26.rds",TRUE,26
"27","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_27.rds",TRUE,27
"28","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_28.rds",TRUE,28
"29","E:/Rceattle_MSE/Runs/GOA_Climate_2/ms_mod_OM/ss_run_Tier3_EM/FALSE regen/FALSE cap","EMs_from_OM_Sim_29.rds",TRUE,29
