"","model","AIC"
"1","SS-Climate naive",9857.34125761088
"2","SS-SSP-126",9862.10720527191
"3","SS-SSP-245",9862.10720527191
"4","SS-SSP-585",9862.10720527191
"5","MS-Climate naive",9825.58240468536
"6","MS-SSP-126",9840.41574390185
"7","MS-SSP-245",9840.41574304142
"8","MS-SSP-585",9840.41574304207
