"","Species","Performance metric","ms_mod_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",419830.11541308,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"2","Pollock","Catch IAV",0.247495812987839,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"3","Pollock","P(Closed)",0.000635593220338983,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.76305833188487,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.0596684912712952,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.00317796610169492,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.000141242937853107,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00635593220338983,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000141242937853107,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"14","Pollock","OM: Terminal B",4547904.83846438,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"15","Pollock","OM: Terminal SSB",871374.004734987,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",872.246250985973,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.875521260448881,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",1.06324127836905,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",110527.216030346,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.217113232846609,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.602907456848852,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0210149316533316,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.00148305084745763,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00296610169491525,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",1735152.63215597,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",330123.172071549,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",330.453625697246,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.467614302696231,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.487892468378845,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"37","Cod","Average Catch",18838.4725508549,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"38","Cod","Catch IAV",0.189896125405925,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.501404103956426,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.111185427713284,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.0156779661016949,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0313559322033898,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"50","Cod","OM: Terminal B",612232.840271168,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
"51","Cod","OM: Terminal SSB",268621.4863943,"ms_mod_OM","ss_run_M_Tier3_EM","FALSE"
