"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",80548.37277112,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.396057467910457,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.0119375,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.691093202322066,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0233204960574995,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.10975,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0040625,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.000625,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.49175,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.2190625,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0008125,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.4876875,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",64177.846365829,"ms_mod_ricker_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
