"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"39","Cod","P(Closed)",0.000423728813559322,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.39976561009035,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.0146759752470958,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.00494350282485876,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",7.06214689265537e-05,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0.264477401129944,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0.10225988700565,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00529661016949153,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.524364406779661,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.102189265536723,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"50","Cod","OM: Terminal B",378522.092186417,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"51","Cod","OM: Terminal SSB",123747.68297649,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.429094856798665,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.418622728123509,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.471619252482966,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","TRUE"
