"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",164914.970247995,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"2","Pollock","Catch IAV",1.24210095947898,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"3","Pollock","P(Closed)",0.409545454545455,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"4","Pollock","Avg SSB Relative MSE",4234840338327.56,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"5","Pollock","Avg terminal SSB Relative MSE",1.81794541783702e+30,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"6","Pollock","EM: P(Fy > Flimit)",0.406477272727273,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"8","Pollock","OM: P(Fy > Flimit)",0.497727272727273,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00693181818181818,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0981818181818182,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"14","Pollock","OM: Terminal B",0.00400986295071547,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"15","Pollock","OM: Terminal SSB",0.000105245172664645,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"16","Pollock","OM: Terminal SSB Depletion",1.05350523187833e-07,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",8.28904224777369e-08,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"18","Pollock","OM: Average SSB Depletion",0.13019772217079,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"19","Arrowtooth flounder","Average Catch",63760.5997298582,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"20","Arrowtooth flounder","Catch IAV",0.595113305702141,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"21","Arrowtooth flounder","P(Closed)",0.0531818181818182,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"22","Arrowtooth flounder","Avg SSB Relative MSE",49244669864291.3,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",410975576012062,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0243181818181818,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.805,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000568181818181818,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.78125,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"32","Arrowtooth flounder","OM: Terminal B",200830.157104023,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"33","Arrowtooth flounder","OM: Terminal SSB",31466.554799471,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",31.4980528523233,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.111097661151621,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.285034724232427,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"37","Cod","Average Catch",17934.6562709807,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"38","Cod","Catch IAV",0.188475635629582,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"39","Cod","P(Closed)",0.00295454545454545,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"40","Cod","Avg SSB Relative MSE",101048709671.964,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"41","Cod","Avg terminal SSB Relative MSE",127620158071.401,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"42","Cod","EM: P(Fy > Flimit)",0.000909090909090909,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"44","Cod","OM: P(Fy > Flimit)",0.00363636363636364,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000340909090909091,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00306818181818182,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"50","Cod","OM: Terminal B",493045.992802751,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"51","Cod","OM: Terminal SSB",211511.007728922,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"52","Cod","OM: Terminal SSB Depletion",211.722730459381,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.695138590023636,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
"54","Cod","OM: Average SSB Depletion",0.685880094532245,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","FALSE",110
