"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",168633.7896515,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.651129993563158,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.43625,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.580735671006478,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00867630787128512,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.002625,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.380875,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00525,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.380875,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",1223433.50987615,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",217132.445673936,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",192537.018355429,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",217.349795469405,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.15481674081465,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",1.02546946841269,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","FALSE",200
