"","Species","Performance metric","ms_mod_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"51","Cod","Avg terminal SSB Relative MSE",0.0093360977880071,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.961625,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.000625,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.948625,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.8158125,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.013875,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000875,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.8151875,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"60","Cod","OM: Terminal B",325872.852603665,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"61","Cod","OM: Terminal SSB",57569.2165861591,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",57.6268434295887,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.136788697400196,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.167773698948861,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"67","Cod","OM: SSB Collapse",1,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",1,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_cmsy_EM","TRUE",200
