"","Species","Performance metric","ms_mod_ricker_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"40","Cod","Avg SSB Relative MSE",0.491824849936776,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"41","Cod","Avg terminal SSB Relative MSE",0.118480973476904,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"50","Cod","OM: Terminal B",644003.476971574,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"51","Cod","OM: Terminal SSB",276569.081453903,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"52","Cod","OM: Terminal SSB Depletion",276.845927381284,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.705018637429694,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
"54","Cod","OM: Average SSB Depletion",0.687421812451419,"ms_mod_ricker_OM","ms_run_fb40iter_EM","FALSE",190
