"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"40","Cod","Avg SSB Relative MSE",0.566294346622428,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"41","Cod","Avg terminal SSB Relative MSE",0.0234248383226168,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"42","Cod","EM: P(Fy > Flimit)",0.919387755102041,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"43","Cod","EM: P(SSB < SSBlimit)",0.746045918367347,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"44","Cod","OM: P(Fy > Flimit)",0.893176020408163,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0297831632653061,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00357142857142857,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.746045918367347,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"50","Cod","OM: Terminal B",311363.754654062,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"51","Cod","OM: Terminal SSB",107389.441244758,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"52","Cod","OM: Terminal SSB Depletion",107.496938182941,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.408038756517285,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
"54","Cod","OM: Average SSB Depletion",0.29702877407018,"ms_mod_ssp585_OM","ms_run_concmsy_EM","TRUE",196
