"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",195499.907690085,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.263732438110935,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.70182573665447,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0240007279912714,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.021,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.042,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",1220281.6750688,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",295413.018150672,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",437955.285083833,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",295.708726877549,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.605064731906127,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.700275923461423,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35476.0491839806,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0811468422990495,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.360574088562571,"ms_mod_ssp126_OM","ss_run_dynamicTier3_EM","TRUE",200
