"","Species","Performance metric","ms_mod_ricker_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"41","Cod","Avg terminal SSB Relative MSE",1118415949083.64,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"42","Cod","EM: P(Fy > Flimit)",0.8353,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"43","Cod","EM: P(SSB < SSBlimit)",0.5143,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"44","Cod","OM: P(Fy > Flimit)",0.7707,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.1104,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0458,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.5143,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"50","Cod","OM: Terminal B",463807.606061864,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"51","Cod","OM: Terminal SSB",156973.249137812,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"52","Cod","OM: Terminal SSB Depletion",157.130379517329,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.394288376310989,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
"54","Cod","OM: Average SSB Depletion",0.314465875048882,"ms_mod_ricker_OM","ms_run_concmsy_EM","FALSE",125
