"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",73864.8509936252,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"2","Pollock","Catch IAV",0.458253880851641,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"3","Pollock","P(Closed)",0.419925742574257,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"4","Pollock","Avg SSB Relative MSE",1183898766353.82,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"5","Pollock","Avg terminal SSB Relative MSE",1.09179407035155e+30,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"6","Pollock","EM: P(Fy > Flimit)",0.413490099009901,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"8","Pollock","OM: P(Fy > Flimit)",0.483787128712871,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"9","Pollock","OM: P(SSB < SSBlimit)",0.735767326732673,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00952970297029703,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0798267326732673,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.735767326732673,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"14","Pollock","OM: Terminal B",0.00389760176248791,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"15","Pollock","OM: Terminal SSB",5.05234937630491e-05,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"16","Pollock","OM: Terminal Dynamic SB0",218963.530695795,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"17","Pollock","OM: Terminal SSB Depletion",5.05740678308799e-08,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",2.19522261372537e-10,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"19","Pollock","OM: Average SSB Depletion",0.187872911485802,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"21","Pollock","OM: SSB Collapse",101,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"22","Pollock","OM: SSB Collapse from F",101,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"23","Pollock","OM: SSB Collapse FAIL",99,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
"24","Arrowtooth flounder","Average Catch",35374.8395571928,"ms_mod_ricker_ssp126_OM","ms_run_fb40iter_EM","TRUE",101
