"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",70129.4812649021,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"2","Pollock","Catch IAV",0.429924610499448,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"3","Pollock","P(Closed)",0.48575,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"4","Pollock","Avg SSB Relative MSE",7345997027544.05,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"5","Pollock","Avg terminal SSB Relative MSE",3.51518577631706e+30,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"6","Pollock","EM: P(Fy > Flimit)",0.404875,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"8","Pollock","OM: P(Fy > Flimit)",0.54575,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"9","Pollock","OM: P(SSB < SSBlimit)",0.751875,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00825,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.149125,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.751875,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"14","Pollock","OM: Terminal B",0.00371876735088478,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"15","Pollock","OM: Terminal SSB",3.0731194558016e-05,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
"16","Pollock","OM: Terminal SSB Depletion",3.07619565145305e-08,"ms_mod_ricker_ssp245_OM","ms_run_fb40_EM","TRUE",100
