"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",261843.073209793,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"2","Pollock","Catch IAV",0.211870874165243,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.748629366367788,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0168370216061291,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.1601875,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.4274375,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.1771875,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.2675625,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0369375,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0539375,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.159875,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"14","Pollock","OM: Terminal B",982600.02017705,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",190644.43382756,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",437736.597702393,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",190.835269096656,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.290442200357377,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.472074999221145,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35475.4684865823,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0813609537677427,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.511287307863448,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00245637722229852,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.000125,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000125,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_concmsy_EM","TRUE",200
