"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.427110925880866,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.488369834663703,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"43","Cod","Average Catch",21054.496788946,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"44","Cod","Catch IAV",0.318439359370334,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"45","Cod","P(Closed)",0.018625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"46","Cod","Avg SSB Relative MSE",0.366123638248582,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0184918092630729,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"48","Cod","EM: P(Fy > Flimit)",0.007125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"49","Cod","EM: P(SSB < SSBlimit)",0.0030625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"50","Cod","OM: P(Fy > Flimit)",0.192625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"51","Cod","OM: P(SSB < SSBlimit)",0.0895,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0114375,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.3824375,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0005625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.087,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"56","Cod","OM: Terminal B",306917.951946165,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"57","Cod","OM: Terminal SSB",107541.180580575,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"58","Cod","OM: Terminal SSB Depletion",107.648829409985,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.340428582715148,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"60","Cod","OM: Average SSB Depletion",0.374933600643185,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","FALSE",200
