"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.489989065380715,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0117654840035268,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",1809685.2298918,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",493052.363046902,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",602680.684026115,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",493.545908955858,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.816975269792308,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.818065699244071,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"47","Cod","Average Catch",13416.5380965249,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"48","Cod","Catch IAV",0.606749670684943,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.568669213488396,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0163251986493349,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","TRUE",200
