"","Species","Performance metric","ms_mod_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",2294084.36330075,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"2","Pollock","Catch IAV",0.641167211773549,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.915068116159514,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0125325373141087,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.94475,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.001125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.95375,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.8234375,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00275,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.01175,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.8223125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"14","Pollock","OM: Terminal B",4338788.05546734,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",177621.948652899,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",177.7997484013,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.178322937408113,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",0.182302904527611,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"20","Pollock","OM: SSB Collapse",4,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"22","Arrowtooth flounder","Average Catch",195878.118999711,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"23","Arrowtooth flounder","Catch IAV",0.811919496935015,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.931043371288577,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",1.69695588102155,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0.8401875,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.3841875,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.95,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.1223125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.5658125,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal B",798950.978966828,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"36","Arrowtooth flounder","OM: Terminal SSB",10418.4401043313,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",10.4288689733046,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.0148004071967718,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.0561813943797423,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"41","Arrowtooth flounder","OM: SSB Collapse",200,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"43","Cod","Average Catch",44168.7742817558,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"44","Cod","Catch IAV",0.464795230757811,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"45","Cod","P(Closed)",0,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"46","Cod","Avg SSB Relative MSE",0.735127722976671,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0127859378990882,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"48","Cod","EM: P(Fy > Flimit)",0.9621875,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"49","Cod","EM: P(SSB < SSBlimit)",0.0100625,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"50","Cod","OM: P(Fy > Flimit)",0.9489375,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
"51","Cod","OM: P(SSB < SSBlimit)",0.9181875,"ms_mod_OM","ms_run_cmsy_EM","FALSE",200
