"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",27.7345452249855,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.196180715873374,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.677482811170504,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"43","Cod","Average Catch",17727.1969089207,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"44","Cod","Catch IAV",0.244002319964927,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"45","Cod","P(Closed)",0.0005625,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"46","Cod","Avg SSB Relative MSE",0.386107002126763,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0199371202813505,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"48","Cod","EM: P(Fy > Flimit)",0.0049375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"49","Cod","EM: P(SSB < SSBlimit)",0.000125,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"50","Cod","OM: P(Fy > Flimit)",0.328125,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
