"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.00627629735181501,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.0858852566688381,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"41","Arrowtooth flounder","OM: SSB Collapse",110,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",35,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"43","Cod","Average Catch",18692.9290526794,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"44","Cod","Catch IAV",0.476862867846174,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"45","Cod","P(Closed)",0.0447544642857143,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"46","Cod","Avg SSB Relative MSE",284511083749.857,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"47","Cod","Avg terminal SSB Relative MSE",1224111593039.64,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"48","Cod","EM: P(Fy > Flimit)",0.847321428571429,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"49","Cod","EM: P(SSB < SSBlimit)",0.754910714285714,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"50","Cod","OM: P(Fy > Flimit)",0.74609375,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"51","Cod","OM: P(SSB < SSBlimit)",0.683928571428571,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.144308035714286,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0430803571428571,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.121205357142857,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0502232142857143,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"56","Cod","OM: Terminal B",214141.427431578,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"57","Cod","OM: Terminal SSB",73509.4121414523,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"58","Cod","OM: Terminal SSB Depletion",73.5829951365889,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.240003687666866,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"60","Cod","OM: Average SSB Depletion",0.257320125180346,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"62","Cod","OM: SSB Collapse",8,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
"63","Cod","OM: SSB Collapse FAIL",15,"ms_mod_ricker_ssp245_OM","ms_run_concmsy_EM","FALSE",112
