"","Species","Performance metric","ms_mod_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"47","Cod","Average Catch",21027.8676967878,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"48","Cod","Catch IAV",0.151815871556925,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.500489925475244,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0972168289041318,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"60","Cod","OM: Terminal B",569315.244077224,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"61","Cod","OM: Terminal SSB",239042.061272111,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",239.281342614725,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.569707262278535,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.579505588740042,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_fb40iter_EM","TRUE",200
