"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",79855.3108925046,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.549150634682321,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.358375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.767630655032454,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.153036282272201,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0036875,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.2845,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.007375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.2845,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",1114779.11840971,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",214615.785131915,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",214.830615747663,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
