"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",131950.304472119,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"2","Pollock","Catch IAV",2.112648089525,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"3","Pollock","P(Closed)",0.545125,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",7009256.61648177,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",8.13566210427614,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.64775,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.897,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.7976875,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.90225,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.002375,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.1523125,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.001625,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.006875,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"14","Pollock","OM: Terminal B",0.00885226880500784,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",0.00160098903647725,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",206095.723235275,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",1.60259162810536e-06,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.45920596957451e-08,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.072951556212135,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",200,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",79984.4587611875,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.503800052126491,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.613510888880983,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.314123765765042,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.024875,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.0149375,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0798125,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.937625,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0036875,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0685625,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal B",864521.567603181,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB",152542.384486086,"ms_mod_ricker_ssp126_OM","ms_run_concmsy_EM","FALSE",200
