"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",130658.888559547,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.326008120441578,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.0014375,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.674570809675726,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0226466148020345,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.016875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",6.25e-05,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.03375,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",6.25e-05,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",1114021.99938161,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",177250.968565519,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",192537.018355429,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",177.428396962482,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.88474338187221,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.675640646937465,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",32736.592773203,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.101472508153896,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.359016476189094,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.243263381805823,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.00475,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0001875,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0095,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_dynamicTier3_EM","TRUE",200
