"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",81118.3959057983,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"2","Pollock","Catch IAV",0.415938585231543,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"3","Pollock","P(Closed)",0.5125625,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",22688.5929712376,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",307.914022619232,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.34175,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.6909375,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.3799375,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.745125,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0038125,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.042,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0541875,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"14","Pollock","OM: Terminal B",0.00839595003144426,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",0.00180206242627987,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.27786653792,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",1.80386629257244e-06,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",3.04975911814298e-06,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.189469807474263,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",200,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",33234.0318902268,"ms_mod_ricker_ssp585_OM","ms_run_cmsy_EM","TRUE",200
