"","Species","Performance metric","ms_mod_OM__ss_run_M_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"16","Pollock","OM: Terminal Dynamic SB0",1017387.50229031,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",854.264462416352,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.842925299305915,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",1.02604301157199,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",111107.231516025,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.214658918763343,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.603948296985663,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0211447645344927,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.00275,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0055,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_M_dynamicTier3_EM","FALSE",200
