"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",134963.711763982,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.641695433407226,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.49725,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.524816759624151,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00359197828408789,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.002375,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.4535625,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00475,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.4535625,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",55457.4160544515,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",12862.9966603494,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.40988818672,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",12.8758725328823,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",11.8563721528519,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",3.17443803572494,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",2,"ms_mod_ricker_ssp585_OM","ss_run_Tier3_EM","FALSE",200
