"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.384287351141239,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.660284379097033,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"43","Cod","Average Catch",14126.9794035958,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"44","Cod","Catch IAV",0.21068093526379,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"45","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"46","Cod","Avg SSB Relative MSE",0.502868293542179,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"47","Cod","Avg terminal SSB Relative MSE",0.132360923076976,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"48","Cod","EM: P(Fy > Flimit)",0.01425,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"49","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"50","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"51","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0285,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"56","Cod","OM: Terminal B",415025.338241895,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"57","Cod","OM: Terminal SSB",191092.453547251,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"58","Cod","OM: Terminal SSB Depletion",191.283737284536,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.730241829187579,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Average SSB Depletion",0.64571315620864,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
