"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",73959.3687972395,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"2","Pollock","Catch IAV",0.456880969825204,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"3","Pollock","P(Closed)",0.3390625,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.722898766370725,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",1.142043468307,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.3319375,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.351,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.735,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0135,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0325625,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.735,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"14","Pollock","OM: Terminal B",0.00860495043224612,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",0.00168676119955877,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",206099.717681343,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",1.68844964920798e-06,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.49976123689332e-08,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.187765554947703,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",200,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35517.9314813376,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0795898550086917,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.496819544621948,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0268805614464691,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_fb40_EM","TRUE",200
