"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",239885.486136491,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"2","Pollock","Catch IAV",0.232971903510201,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.724603324158807,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0237789194182776,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",6.25e-05,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",6.25e-05,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"14","Pollock","OM: Terminal B",1057622.78265711,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",221640.064322217,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"16","Pollock","OM: Terminal SSB Depletion",221.861926248466,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.395510089932973,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"18","Pollock","OM: Average SSB Depletion",0.531558295404526,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"19","Arrowtooth flounder","Average Catch",35475.8173246276,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"20","Arrowtooth flounder","Catch IAV",0.0811480377213506,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.513529689631072,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00221919128056992,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","TRUE",200
