"","Species","Performance metric","ms_mod_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",914254.055094671,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"2","Pollock","Catch IAV",0.399548684713058,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"3","Pollock","P(Closed)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.780406629707969,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.00924076517251202,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.000918079096045198,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0.0067090395480226,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0057909604519774,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"14","Pollock","OM: Terminal B",3493482.38215034,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"15","Pollock","OM: Terminal SSB",375845.162039029,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",376.221383422452,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.371375381720948,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",0.39678313332054,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",122795.475601778,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.264732562648085,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.63050996233554,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0254201395294924,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0158898305084746,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.935875706214689,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.919985875706215,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",1700404.31343829,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",297734.594393648,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",298.032627020668,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.42130857960266,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.441492687059646,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"37","Cod","Average Catch",21734.9075321371,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"38","Cod","Catch IAV",0.151139236531808,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.496126091846872,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.0997257694052698,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40_EM","FALSE"
