"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",104855.421834365,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"2","Pollock","Catch IAV",0.399612061909374,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"3","Pollock","P(Closed)",0.00402542372881356,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.781934649391285,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.226300449912974,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.0165254237288136,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.000423728813559322,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0330508474576271,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000423728813559322,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_dynamicTier3_EM","FALSE"
