"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",52481.2976045816,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.393990206709139,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.04775,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.792698420754759,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.332909286696463,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.1055625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.018125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.0015625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.0218125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.2106875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0026875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0124375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",7474.03514338201,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",1703.81029213649,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1371.79561333141,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",1.70551580794443,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.15284187768596,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.918290344458435,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",146,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",87,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",33097.3612443509,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.097026412286106,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.497316220729514,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0462544372992529,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.001625,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.0161875,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.138125,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.0809375,"ms_mod_ricker_ssp585_OM","ss_run_M_dynamicTier3_EM","TRUE",200
