"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"38","Arrowtooth flounder","OM: Terminal SSB",35661.9181496495,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",284249.711743369,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",35.6976157654149,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.1248908511785,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.290583841730819,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"47","Cod","Average Catch",18790.2936394492,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"48","Cod","Catch IAV",0.164676754821431,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"50","Cod","Avg SSB Relative MSE",0.491061204612161,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0918564155565523,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"60","Cod","OM: Terminal B",480074.389494148,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"61","Cod","OM: Terminal SSB",198890.366853334,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"62","Cod","OM: Terminal Dynamic SB0",313431.392113888,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"63","Cod","OM: Terminal SSB Depletion",199.089456309644,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.628696511680805,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"65","Cod","OM: Average SSB Depletion",0.669457343106435,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp245_OM","ms_run_fb40iter_EM","FALSE",200
