"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"38","Arrowtooth flounder","OM: Terminal SSB",153857.994088058,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",602924.219319069,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",154.012006094152,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.254744078126552,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.311054114001315,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"47","Cod","Average Catch",17290.8175915295,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"48","Cod","Catch IAV",0.65932744454575,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"49","Cod","P(Closed)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"50","Cod","Avg SSB Relative MSE",0.560033483073549,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"51","Cod","Avg terminal SSB Relative MSE",0.0118605839763692,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"52","Cod","EM: P(Fy > Flimit)",0.960416666666667,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"54","Cod","OM: P(Fy > Flimit)",0.95,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"55","Cod","OM: P(SSB < SSBlimit)",0.836111111111111,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0125,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00208333333333333,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.836111111111111,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"60","Cod","OM: Terminal B",105210.501042663,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"61","Cod","OM: Terminal SSB",25666.4172538088,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"62","Cod","OM: Terminal Dynamic SB0",324919.111387885,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"63","Cod","OM: Terminal SSB Depletion",25.692109363172,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.0780102853535306,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"65","Cod","OM: Average SSB Depletion",0.161107590445601,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
"69","Cod","OM: SSB Collapse FAIL",0,"ms_mod_ricker_ssp126_OM","ms_run_cmsy_EM","FALSE",198
