"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_M_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",61586.1948960338,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.568174166151886,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.4323125,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.76042957501417,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.140860335935015,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.00425,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.3529375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0085,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.3529375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",1114385.78903254,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",210042.248043096,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",164208.332960328,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",210.25250054364,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.30750365133045,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",1.06950944944626,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",34836.8309522493,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0890118766062496,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.501039549578782,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0148174057055847,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.0034375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0034375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",873661.68940229,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",115345.871587583,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",213668.839093235,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",115.461332920504,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.539251898990889,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.738198484421824,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"47","Cod","Average Catch",14509.3239023719,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"48","Cod","Catch IAV",0.239266754872494,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"49","Cod","P(Closed)",0.001,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.490466544781269,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.090232144230923,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.0154375,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.030875,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"60","Cod","OM: Terminal B",471693.19060514,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",203284.581531071,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",292291.721016151,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",203.488069600671,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.69358506513301,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.652554099400529,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_M_Tier3_EM","TRUE",200
