"","Species","Performance metric","ms_mod_ricker_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",102510.020382784,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"2","Pollock","Catch IAV",3.01543694060897,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"3","Pollock","P(Closed)",0.550125628140704,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"4","Pollock","Avg SSB Relative MSE",0.815683934235525,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"5","Pollock","Avg terminal SSB Relative MSE",0.00282328265809995,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"6","Pollock","EM: P(Fy > Flimit)",0.849246231155779,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"7","Pollock","EM: P(SSB < SSBlimit)",0.848869346733668,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"8","Pollock","OM: P(Fy > Flimit)",0.940452261306533,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"9","Pollock","OM: P(SSB < SSBlimit)",0.93643216080402,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00251256281407035,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0937185929648241,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0875628140703518,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"14","Pollock","OM: Terminal B",0.0164220923649827,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"15","Pollock","OM: Terminal SSB",0.0018018797865417,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"16","Pollock","OM: Terminal Dynamic SB0",972161.005174676,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"17","Pollock","OM: Terminal SSB Depletion",1.80368347001172e-06,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",2.25531386787973e-09,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"19","Pollock","OM: Average SSB Depletion",0.0505724641839371,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"21","Pollock","OM: SSB Collapse",199,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"22","Pollock","OM: SSB Collapse from F",199,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"23","Pollock","OM: SSB Collapse FAIL",1,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"24","Arrowtooth flounder","Average Catch",86719.1371536912,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"25","Arrowtooth flounder","Catch IAV",0.49475005274591,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.607858413431266,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.113729579505028,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.025,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.229020100502513,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.9375,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.229020100502513,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"37","Arrowtooth flounder","OM: Terminal B",877662.278799035,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"38","Arrowtooth flounder","OM: Terminal SSB",142702.400146076,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",709906.313826228,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",142.845245391467,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.200509325283228,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.281451169246451,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"47","Cod","Average Catch",22712.77337508,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"48","Cod","Catch IAV",0.534359260632084,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"49","Cod","P(Closed)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"50","Cod","Avg SSB Relative MSE",0.560181577505136,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"51","Cod","Avg terminal SSB Relative MSE",0.0114918705155825,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"52","Cod","EM: P(Fy > Flimit)",0.957977386934673,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"54","Cod","OM: P(Fy > Flimit)",0.95,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
"55","Cod","OM: P(SSB < SSBlimit)",0.77820351758794,"ms_mod_ricker_OM","ms_run_cmsy_EM","FALSE",199
