"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ss_run_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",144238.901774177,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.566797118371653,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.121375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.557734252740108,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00224934650832505,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.1085,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0698125,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.0100625,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.14375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.2115625,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0146875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.004,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0779375,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",930.25170093409,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",188.91975220953,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.40988818672,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",0.189108861070601,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.117090062588726,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.549044429086102,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",199,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",199,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",56382.3283270935,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.230309535787255,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.418223125663494,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.480739744927773,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.000875,"ms_mod_ricker_ssp585_OM","ss_run_dynamicTier3_EM","FALSE",200
