"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"56","Cod","OM: Terminal B",460709.237222294,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"57","Cod","OM: Terminal SSB",195890.098062752,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"58","Cod","OM: Terminal SSB Depletion",196.086184246999,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.618052003677104,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"60","Cod","OM: Average SSB Depletion",0.581487882391705,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"61","Cod","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"62","Cod","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
"63","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","TRUE",200
