"","Species","Performance metric","ms_mod_ssp245_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",193847.303656122,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"2","Pollock","Catch IAV",0.336132441739101,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.809457074313735,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00648374642515427,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.5433125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.258625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.588625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.563,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0043125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.049625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0001875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.3045625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"14","Pollock","OM: Terminal B",671762.912631685,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",58909.3608934596,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",164336.778762042,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",58.9683292226823,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.208150980747174,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.315037276110737,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",179,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",179,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ms_run_cmsy_EM","TRUE",200
