"","Species","Performance metric","ms_mod_ssp245_OM__ss_run_dynamicTier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",201171.545718979,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.500182767903351,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.002,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.646602992754945,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00701626775716123,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.014125,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.02825,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",6.25e-05,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",926543.630976738,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",137551.108784656,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",164332.168331624,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",137.688797582238,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.821396656786548,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.711658779736188,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",65628.1040909224,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.198571083604695,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.450710149458037,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.266896803220281,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ss_run_dynamicTier3_EM","FALSE",200
