"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",152657.042407067,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"2","Pollock","Catch IAV",0.475435810453511,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"3","Pollock","P(Closed)",0.0659604519774011,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.807283267681635,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.174493214336497,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.00204802259887006,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.0277542372881356,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00409604519774011,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0277542372881356,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"14","Pollock","OM: Terminal B",1705016.3878352,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"15","Pollock","OM: Terminal SSB",487407.59574694,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",487.895491238178,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.19401105214892,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",1.29714234614096,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",86379.865864466,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.277388931399519,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","FALSE"
