"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",524009.88640409,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"2","Pollock","Catch IAV",0.647137022703958,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.761225806736516,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0219504726993337,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.000125,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.001625,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.177,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0015,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.177,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"14","Pollock","OM: Terminal B",1005842.68060372,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",153600.488823199,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",153.754243066266,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.34226825336883,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",0.417627893926821,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"20","Pollock","OM: SSB Collapse",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"22","Arrowtooth flounder","Average Catch",98089.3827543632,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"23","Arrowtooth flounder","Catch IAV",0.328417057873105,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.62787869962685,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0288671826219589,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0203125,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9605625,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40_EM","FALSE",200
