"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",1856109.47476336,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",515966.978557953,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",516.483462019973,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.816720817208441,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.824618064272487,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"37","Cod","Average Catch",18833.4852660057,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"38","Cod","Catch IAV",0.160947536276364,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.508324937895644,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.106876534359881,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"50","Cod","OM: Terminal B",499609.410317441,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"51","Cod","OM: Terminal SSB",211865.667432097,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",212.077745177274,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.579686252693354,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.582059419634938,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","TRUE"
