"","Species","Performance metric","ms_mod_ricker_OM__ms_run_fb40iter_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",151074.739496108,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"2","Pollock","Catch IAV",0.248561043874305,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"3","Pollock","P(Closed)",0.209116541353383,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"4","Pollock","Avg SSB Relative MSE",953110535731.691,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"5","Pollock","Avg terminal SSB Relative MSE",6.22567972725905e+30,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"6","Pollock","EM: P(Fy > Flimit)",0.21109022556391,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"8","Pollock","OM: P(Fy > Flimit)",0.270206766917293,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"9","Pollock","OM: P(SSB < SSBlimit)",0.551315789473684,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00610902255639098,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0652255639097744,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.551315789473684,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"14","Pollock","OM: Terminal B",207404.711990818,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"15","Pollock","OM: Terminal SSB",33730.951934803,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"16","Pollock","OM: Terminal Dynamic SB0",964406.809227362,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"17","Pollock","OM: Terminal SSB Depletion",33.7647166514544,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.0303674965079888,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"19","Pollock","OM: Average SSB Depletion",0.294526863166601,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"21","Pollock","OM: SSB Collapse",109,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"22","Pollock","OM: SSB Collapse from F",109,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"23","Pollock","OM: SSB Collapse FAIL",67,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"24","Arrowtooth flounder","Average Catch",35540.4875689634,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"25","Arrowtooth flounder","Catch IAV",0.0792363460739399,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"26","Arrowtooth flounder","P(Closed)",0.00075187969924812,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"27","Arrowtooth flounder","Avg SSB Relative MSE",1.06196117499357,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",34.2837133467516,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.00131578947368421,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ms_run_fb40iter_EM","TRUE",133
