"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"1","Pollock","Average Catch",165454.099752545,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"2","Pollock","Catch IAV",0.296016614274776,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"3","Pollock","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"4","Pollock","Avg SSB Relative MSE",0.716780425247171,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"5","Pollock","Avg terminal SSB Relative MSE",0.0103606092583872,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"6","Pollock","EM: P(Fy > Flimit)",0.00155367231638418,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"8","Pollock","OM: P(Fy > Flimit)",0.00268361581920904,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"9","Pollock","OM: P(SSB < SSBlimit)",0.247598870056497,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000211864406779661,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00134180790960452,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.247598870056497,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"14","Pollock","OM: Terminal B",962576.365247876,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"15","Pollock","OM: Terminal SSB",137254.506817939,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
"16","Pollock","OM: Terminal SSB Depletion",1.39418196215161,"ms_mod_ssp585_OM","ms_run_fb40_EM","TRUE"
