"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_fb40_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.944632768361582,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",536648.207501231,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",40269.5205716171,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",40.3098304020191,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.368624478803716,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.401411870872248,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"37","Cod","Average Catch",16911.1880629594,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"38","Cod","Catch IAV",0.175933228761301,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"39","Cod","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.493953581198073,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.100363577795205,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"50","Cod","OM: Terminal B",403222.895763431,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"51","Cod","OM: Terminal SSB",179506.044505465,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"52","Cod","OM: Terminal SSB Depletion",179.6857302357,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.685382134912074,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
"54","Cod","OM: Average SSB Depletion",0.600474122114953,"ms_mod_ssp585_OM","ms_run_fb40_EM","FALSE"
