"","Species","Performance metric","ms_mod_ricker_ssp126_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",220229.021555099,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.530888284145962,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.1313125,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.620265800604509,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00424832227821404,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0028125,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0655625,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.005625,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0655625,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp126_OM","ss_run_Tier3_EM","FALSE",200
