"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",81187.6420114205,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"2","Pollock","Catch IAV",0.410037119845225,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"3","Pollock","P(Closed)",0.4894375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.633893957923305,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0275192775734588,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.3364375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.7618125,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.3828125,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.741875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.007875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.05425,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.021,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0010625,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"14","Pollock","OM: Terminal B",0.00839011303609843,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",0.00180151320533296,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.23366520023,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",1.80331652185481e-06,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",3.04907620929792e-06,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.191291931971052,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",200,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",33224.5875912983,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.09574164583505,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.478810516735961,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0314800957513136,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.13375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.13375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.08275,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.13375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.051,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",123089.033869712,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",18617.2846973395,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",140297.310832493,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","TRUE",200
