"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"41","Cod","Avg terminal SSB Relative MSE",0.0102188296163007,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.962076271186441,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0.00169491525423729,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0.948587570621469,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0.886864406779661,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0137005649717514,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000211864406779661,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.885169491525424,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"50","Cod","OM: Terminal B",250780.677400834,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"51","Cod","OM: Terminal SSB",39952.9949679295,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.118106476101014,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.11632010146529,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.190758924663095,"ms_mod_ssp126_OM","ms_run_cmsy_EM","TRUE"
