"","Species","Performance metric","ms_mod_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"47","Cod","Average Catch",30071.0406714171,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"48","Cod","Catch IAV",0.244896961956805,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"49","Cod","P(Closed)",0.003125,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.394359599848222,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0199334407651837,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.009,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.0008125,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.2865,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.010875,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0109375,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.5659375,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0100625,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"60","Cod","OM: Terminal B",465445.345301273,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",151383.093369828,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",151.534627997826,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.361424101413209,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.379325800702717,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_Tier3_EM","TRUE",200
