"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",80570.5660742557,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"2","Pollock","Catch IAV",0.410443078813892,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"3","Pollock","P(Closed)",0.436702127659574,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"4","Pollock","Avg SSB Relative MSE",4039974875862.91,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"5","Pollock","Avg terminal SSB Relative MSE",1.98529453435226e+30,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"6","Pollock","EM: P(Fy > Flimit)",0.383643617021277,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"8","Pollock","OM: P(Fy > Flimit)",0.496675531914894,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"9","Pollock","OM: P(SSB < SSBlimit)",0.711702127659574,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00718085106382979,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.120212765957447,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.711702127659574,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"14","Pollock","OM: Terminal B",0.00414951546180556,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"15","Pollock","OM: Terminal SSB",0.00013064027697528,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"16","Pollock","OM: Terminal Dynamic SB0",1492.89225799446,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"17","Pollock","OM: Terminal SSB Depletion",1.30771048023304e-07,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",9.50638405547619e-08,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"19","Pollock","OM: Average SSB Depletion",0.206320788114375,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"20","Pollock","OM no F: SSB Collapse",65,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"21","Pollock","OM: SSB Collapse",94,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"22","Pollock","OM: SSB Collapse from F",94,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
"23","Pollock","OM: SSB Collapse FAIL",106,"ms_mod_ricker_ssp585_OM","ms_run_fb40_EM","TRUE",94
