"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.587302538898037,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.706585695637584,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"47","Cod","Average Catch",22872.9455306833,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"48","Cod","Catch IAV",0.317049094875085,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"49","Cod","P(Closed)",0.0314375,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.373106523647498,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0168700695962533,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.010375,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.00975,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0.210625,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.0160625,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0138125,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.4143125,"ms_mod_ssp585_OM","ss_run_Tier3_EM","TRUE",200
