"","Species","Performance metric","ms_mod_ssp245_OM__ms_run_fb40_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",168800.222468995,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"2","Pollock","Catch IAV",0.308741379466984,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.726646994249906,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0117348356497172,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",6.25e-05,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.1590625,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",6.25e-05,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.1590625,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"14","Pollock","OM: Terminal B",819127.244681087,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",98082.6213863845,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",164334.717864948,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",98.1808021885731,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.509909008226573,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.440191552317793,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp245_OM","ms_run_fb40_EM","TRUE",200
