"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",282064.407419153,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"2","Pollock","Catch IAV",0.567000586308625,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"3","Pollock","P(Closed)",0.0913841807909605,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.645346714915897,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.00320490349176648,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.00346045197740113,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.0425141242937853,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00692090395480226,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0425141242937853,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"14","Pollock","OM: Terminal B",1402936.19662289,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"15","Pollock","OM: Terminal SSB",346520.278607651,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",1.38219299551909,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.853986088926268,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",2.30909317684231,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",77243.545275727,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.172461187409324,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.466196284928826,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.234470372049155,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",1461053.14119225,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",303855.841031677,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.533934116869753,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.540744838522483,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.525130865284239,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"37","Cod","Average Catch",27139.8771023201,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"38","Cod","Catch IAV",0.275189688319068,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"39","Cod","P(Closed)",0.00444915254237288,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.388351288476262,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.01766968391389,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.0076271186440678,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0.000706214689265537,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0.233968926553672,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0.0555790960451977,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0113700564971751,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.464053672316384,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_Tier3_EM","FALSE"
