"","Species","Performance metric","ms_mod_ricker_ssp585_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",156551.460012708,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"2","Pollock","Catch IAV",2.23513460950847,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"3","Pollock","P(Closed)",0.562625,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",25755257.991183,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00623459692684229,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.45025,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.896875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.5511875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.90375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0021875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.103125,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00075,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.007625,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"14","Pollock","OM: Terminal B",0.00859835472042395,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",0.00181439138151282,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1372.22668635251,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",1.81620758910192e-06,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",3.06407919762222e-06,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.0696016079591587,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",143,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",200,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",200,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",58881.2054414783,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.684235533500357,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.590119268441724,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0386991966936181,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0245625,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.4134375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9624375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.4016875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.937875,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.023375,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.011625,"ms_mod_ricker_ssp585_OM","ms_run_concmsy_EM","FALSE",200
