"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"1","Pollock","Average Catch",104520.034887953,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"2","Pollock","Catch IAV",0.409390033847505,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"3","Pollock","P(Closed)",0.130155367231638,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"4","Pollock","Avg SSB Relative MSE",0.81000037762986,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"5","Pollock","Avg terminal SSB Relative MSE",0.19527328809509,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"6","Pollock","EM: P(Fy > Flimit)",0.0047316384180791,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.0617937853107345,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00946327683615819,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0617937853107345,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"14","Pollock","OM: Terminal B",1386985.77661472,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"15","Pollock","OM: Terminal SSB",381134.026804116,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"16","Pollock","OM: Terminal SSB Depletion",1.52025960592946,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.885213538620669,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"18","Pollock","OM: Average SSB Depletion",2.64675435050826,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"19","Arrowtooth flounder","Average Catch",35474.3255193819,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
"20","Arrowtooth flounder","Catch IAV",0.0811494433781732,"ms_mod_ssp126_OM","ss_run_M_Tier3_EM","TRUE"
