"","Species","Performance metric","ms_mod_ricker_OM__ss_run_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",180198.630916076,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.20721008896084,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"3","Pollock","P(Closed)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.697361844524954,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0160047499562966,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0245,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.435,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.049,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.435,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",946200.542956489,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",160712.685246306,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"16","Pollock","OM: Terminal SSB Depletion",160.873558805112,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.144227626730288,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"18","Pollock","OM: Average SSB Depletion",0.393371780016205,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"20","Pollock","OM: SSB Collapse",1,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"22","Arrowtooth flounder","Average Catch",35570.9759046128,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"23","Arrowtooth flounder","Catch IAV",0.0785739344053543,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.35482750552048,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.195788481949841,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"35","Arrowtooth flounder","OM: Terminal B",2112097.3389222,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"36","Arrowtooth flounder","OM: Terminal SSB",596636.29463113,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",597.233528159289,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.839546387259437,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.844395841459332,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"41","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"43","Cod","Average Catch",26622.3884679722,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"44","Cod","Catch IAV",0.205204125626719,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"45","Cod","P(Closed)",0.0001875,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"46","Cod","Avg SSB Relative MSE",0.396115143794821,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0197999270564406,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"48","Cod","EM: P(Fy > Flimit)",0.003,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"49","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"50","Cod","OM: P(Fy > Flimit)",0.298,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"51","Cod","OM: P(SSB < SSBlimit)",0.172375,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0024375,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.5924375,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.172375,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"56","Cod","OM: Terminal B",405248.311402367,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"57","Cod","OM: Terminal SSB",130273.222538324,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"58","Cod","OM: Terminal SSB Depletion",130.403626164489,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.330648671772531,"ms_mod_ricker_OM","ss_run_dynamicTier3_EM","TRUE",200
